VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
RE21PPX,MERCEDES-BENZ,C-CLASS,3-4 years old,saloon,DIESEL,semiAutomatic,BLACK,19600,48947,0.9247982792,5
NA72FLC,KIA,EV6,0-2 years old,suv,ELECTRIC,automatic,BLACK,23550,26216,0.6502423891,8
CU68KPR,MAZDA,CX-5,5-6 years old,suv,DIESEL,manual,RED,12650,65632,0.4169215452,8
SB72JZX,VOLKSWAGEN,TAIGO,0-2 years old,suv,PETROL,manual,WHITE,15600,48117,0.4225635627,8
GX22URF,HONDA,HR-V,3-4 years old,suv,PETROLELECTRICHYBRID,automatic,RED,20170,33955,0.3900154541,8
SA68LFF,VAUXHALL,CROSSLAND X,5-6 years old,suv,PETROL,manual,WHITE,9450,38082,0.3767356868,8
GU71SMV,BMW,2 SERIES GRAN COUPE,3-4 years old,saloon,PETROL,semiAutomatic,BLACK,16600,77970,0.7521703275,5
VN22CNC,VOLKSWAGEN,ID.3,3-4 years old,hatchback,ELECTRIC,automatic,BLUE,12150,67971,0.8075787482,5
MT18GHX,MERCEDES-BENZ,C-CLASS,7-8 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLUE,15000,48351,0.3402085116,5
PN71OCA,VOLKSWAGEN,PASSAT,3-4 years old,estate,PETROLPLUGINELECTRICHYBRID,semiAutomatic,BLACK,18100,38826,0.9241313152,7
WX68HPP,FIAT,500X,5-6 years old,suv,PETROL,manual,RED,11050,22671,0.6364889204,8
WG69XNN,NISSAN,JUKE,5-6 years old,suv,PETROL,manual,GREY,12300,44189,0.5305845033,8
LG23KDV,MG,ZS EV,0-2 years old,suv,ELECTRIC,automatic,RED,15500,23033,0.6719696774,8
KT21VOJ,AUDI,A4,3-4 years old,saloon,DIESEL,semiAutomatic,BLACK,18950,68093,0.6062106403,5
DL70ZCZ,VAUXHALL,CORSA,3-4 years old,hatchback,PETROL,manual,BLUE,10350,32032,0.782442271,5
NA67EFT,FORD,KUGA,7-8 years old,suv,DIESEL,manual,BLACK,9380,70204,0.6874818408,8
KV69GMU,PEUGEOT,208,5-6 years old,hatchback,PETROL,manual,WHITE,8600,36102,0.7821582371,5
MH68LWK,TOYOTA,AYGO,5-6 years old,hatchback,PETROL,manual,RED,8700,36275,0.6334621188,5
DS23FEH,HYUNDAI,TUCSON,0-2 years old,suv,PETROL,semiAutomatic,GREY,20900,13346,0.6702014613,8
MJ21OFZ,BMW,1 SERIES,3-4 years old,hatchback,DIESEL,manual,BLUE,16670,57533,0.7381958215,5
CN23ZJZ,MG,MG5,0-2 years old,estate,ELECTRIC,automatic,SILVER,12450,29498,0.6481749981,7
DN22XMG,NISSAN,JUKE,3-4 years old,suv,PETROL,manual,RED,15700,17891,0.5820739463,8
RO21SLU,VOLKSWAGEN,T-ROC,3-4 years old,suv,PETROL,semiAutomatic,BLACK,22250,17864,0.7672516598,8
AV71USX,DS,DS 3 CROSSBACK,3-4 years old,suv,ELECTRIC,automatic,BLACK,11950,22808,0.9220351064,8
YG19ZOJ,FORD,ECOSPORT,5-6 years old,suv,PETROL,manual,BLUE,10350,29860,0.6459626073,8
WP69MVR,VAUXHALL,CORSA,5-6 years old,hatchback,PETROL,manual,ORANGE,9800,51983,0.6659106134,5
HN69APK,RENAULT,CAPTUR,5-6 years old,suv,PETROL,manual,GREY,7950,63920,0.6774033854,8
CN21YSU,MERCEDES-BENZ,C-CLASS,3-4 years old,saloon,PETROLPLUGINELECTRICHYBRID,semiAutomatic,SILVER,19150,55963,0.7399818346,5
NJ22KKX,KIA,EV6,3-4 years old,suv,ELECTRIC,automatic,WHITE,19100,49116,0.6582979616,8
FP23AAZ,BMW,2 SERIES ACTIVE TOURER,0-2 years old,hatchback,PETROLPLUGINELECTRICHYBRID,automatic,GREY,23500,25198,0.1829830968,5
DS22OOV,KIA,PROCEED,3-4 years old,estate,PETROL,manual,WHITE,17600,17441,0.7088062723,7
LE19XYH,BMW,X2,5-6 years old,suv,PETROL,semiAutomatic,BLACK,18050,27778,0.6858575951,8
DT68EHE,VAUXHALL,MOKKA X,5-6 years old,suv,PETROL,manual,BLACK,9600,38184,0.7248686313,8
WM67XRW,MITSUBISHI,ECLIPSE CROSS,7-8 years old,suv,PETROL,manual,GREY,10450,43902,0.6420019764,8
CV22WKC,FORD,PUMA,3-4 years old,suv,PETROL,manual,BLACK,16800,24111,0.5222921945,8
KL68BHE,AUDI,Q2,5-6 years old,suv,DIESEL,semiAutomatic,BLACK,15600,28706,0.806876136,8
WV68VWU,KIA,SPORTAGE,5-6 years old,suv,DIESEL,manual,BLACK,10250,50118,0.5528702893,8
WN72ZFZ,VOLKSWAGEN,ID.4,0-2 years old,suv,ELECTRIC,automatic,GREY,17850,33205,0.7671850243,8
VF19HYX,VOLKSWAGEN,GOLF,5-6 years old,hatchback,PETROL,semiAutomatic,GREY,20400,47348,0.7621658393,5
LK68VGP,MAZDA,MAZDA6,5-6 years old,saloon,PETROL,manual,WHITE,13780,42283,0.717510959,5
